Service, Sub-service, Path (relative from the Azure root folder: https://github.com/Azure/azure-rest-api-specs/tree/main/)
Microsoft.Network, usage, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/usage.json
Microsoft.Network, checkDnsAvailability, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/checkDnsAvailability.json
Microsoft.Network, ddosProtectionPlan, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/ddosProtectionPlan.json
Microsoft.Network, customIpPrefix, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/customIpPrefix.json
Microsoft.Network, cloudServicePublicIpAddress, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/cloudServicePublicIpAddress.json
Microsoft.Network, expressRouteCircuit, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/expressRouteCircuit.json
Microsoft.Network, routeTable, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/routeTable.json
Microsoft.Network, serviceTags, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/serviceTags.json
Microsoft.Network, availableDelegations, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/availableDelegations.json
Microsoft.Network, ddosCustomPolicy, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/ddosCustomPolicy.json
Microsoft.Network, expressRouteCrossConnection, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/expressRouteCrossConnection.json
Microsoft.Network, publicIpAddress, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/publicIpAddress.json
Microsoft.Network, virtualNetworkGateway, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/virtualNetworkGateway.json
Microsoft.Network, ipGroups, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/ipGroups.json
Microsoft.Network, webapplicationfirewall, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/webapplicationfirewall.json
Microsoft.Network, networkSecurityGroup, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/networkSecurityGroup.json
Microsoft.Network, networkVirtualAppliance, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/networkVirtualAppliance.json
Microsoft.Network, networkProfile, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/networkProfile.json
Microsoft.Network, ipAllocation, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/ipAllocation.json
Microsoft.Network, endpointService, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/endpointService.json
Microsoft.Network, azureFirewallFqdnTag, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/azureFirewallFqdnTag.json
Microsoft.Network, natGateway, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/natGateway.json
Microsoft.Network, virtualNetwork, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/virtualNetwork.json
Microsoft.Network, vmssNetworkInterface, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/vmssNetworkInterface.json
Microsoft.Network, dscpConfiguration, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/dscpConfiguration.json
Microsoft.Network, virtualWan, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/virtualWan.json
Microsoft.Network, firewallPolicy, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/firewallPolicy.json
Microsoft.Network, loadBalancer, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/loadBalancer.json
Microsoft.Network, network, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/network.json
Microsoft.Network, cloudServiceNetworkInterface, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/cloudServiceNetworkInterface.json
Microsoft.Network, publicIpPrefix, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/publicIpPrefix.json
Microsoft.Network, operation, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/operation.json
Microsoft.Network, vmssPublicIpAddress, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/vmssPublicIpAddress.json
Microsoft.Network, azureWebCategory, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/azureWebCategory.json
Microsoft.Network, securityPartnerProvider, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/securityPartnerProvider.json
Microsoft.Network, serviceCommunity, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/serviceCommunity.json
Microsoft.Network, applicationGateway, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/applicationGateway.json
Microsoft.Network, expressRoutePort, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/expressRoutePort.json
Microsoft.Network, privateEndpoint, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/privateEndpoint.json
Microsoft.Network, applicationSecurityGroup, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/applicationSecurityGroup.json
Microsoft.Network, serviceEndpointPolicy, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/serviceEndpointPolicy.json
Microsoft.Network, virtualRouter, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/virtualRouter.json
Microsoft.Network, virtualNetworkTap, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/virtualNetworkTap.json
Microsoft.Network, azureFirewall, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/azureFirewall.json
Microsoft.Network, networkWatcher, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/networkWatcher.json
Microsoft.Network, privateLinkService, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/privateLinkService.json
Microsoft.Network, bastionHost, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/bastionHost.json
Microsoft.Network, routeFilter, specification/network/resource-manager/Microsoft.Network/stable/2021-05-01/routeFilter.json
Microsoft.SignalRService, webpubsub, specification/webpubsub/resource-manager/Microsoft.SignalRService/stable/2021-10-01/webpubsub.json
Microsoft.Devices, iotdps, specification/deviceprovisioningservices/resource-manager/Microsoft.Devices/stable/2021-10-15/iotdps.json
Microsoft.Network, trafficmanager, specification/trafficmanager/resource-manager/Microsoft.Network/stable/2018-08-01/trafficmanager.json
Microsoft.VirtualMachineImages, imagebuilder, specification/imagebuilder/resource-manager/Microsoft.VirtualMachineImages/stable/2021-10-01/imagebuilder.json
Microsoft.AzureArcData, dataControllers, specification/azurearcdata/resource-manager/Microsoft.AzureArcData/stable/2021-11-01/dataControllers.json
Microsoft.AzureArcData, common, specification/azurearcdata/resource-manager/Microsoft.AzureArcData/stable/2021-11-01/common.json
Microsoft.AzureArcData, azurearcdata, specification/azurearcdata/resource-manager/Microsoft.AzureArcData/stable/2021-11-01/azurearcdata.json
Microsoft.AzureArcData, sqlManagedInstances, specification/azurearcdata/resource-manager/Microsoft.AzureArcData/stable/2021-11-01/sqlManagedInstances.json
Microsoft.AzureArcData, sqlServerInstances, specification/azurearcdata/resource-manager/Microsoft.AzureArcData/stable/2021-11-01/sqlServerInstances.json
Microsoft.AzureArcData, operations, specification/azurearcdata/resource-manager/Microsoft.AzureArcData/stable/2021-11-01/operations.json
Microsoft.Databricks, vnetpeering, specification/databricks/resource-manager/Microsoft.Databricks/stable/2018-04-01/vnetpeering.json
Microsoft.Databricks, databricks, specification/databricks/resource-manager/Microsoft.Databricks/stable/2018-04-01/databricks.json
Microsoft.AppConfiguration, appconfiguration, specification/appconfiguration/resource-manager/Microsoft.AppConfiguration/stable/2020-06-01/appconfiguration.json
Microsoft.VMwareCloudSimple, vmwarecloudsimple, specification/vmwarecloudsimple/resource-manager/Microsoft.VMwareCloudSimple/stable/2019-04-01/vmwarecloudsimple.json
Microsoft.Logic, logic, specification/logic/resource-manager/Microsoft.Logic/stable/2019-05-01/logic.json
Microsoft.Solutions, managedapplications, specification/solutions/resource-manager/Microsoft.Solutions/stable/2021-07-01/managedapplications.json
Microsoft.Scheduler, scheduler, specification/scheduler/resource-manager/Microsoft.Scheduler/stable/2016-03-01/scheduler.json
Microsoft.BareMetalInfrastructure, baremetalinfrastructure, specification/baremetalinfrastructure/resource-manager/Microsoft.BareMetalInfrastructure/stable/2021-08-09/baremetalinfrastructure.json
